,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
28,AUDUSD=X,Sinal 2,250.0,100,23.944444444444443,53,12.0,52,0.4,45,18.0
22,AUDUSD=X,Sinal 2,125.0,50,10.65,59,2.878787878787879,12,0.38,53,17.49
29,AUDUSD=X,Sinal 2,300.0,100,32.266666666666666,54,12.5,52,0.35,43,17.199999999999992
87,AUDUSD=X,Sinal 5,150.0,75,10.846153846153847,45,8.921052631578947,52,0.41,64,14.719999999999992
27,AUDUSD=X,Sinal 2,200.0,100,15.9,46,12.0,52,0.43,47,13.629999999999997
64,AUDUSD=X,Sinal 4,125.0,50,8.666666666666666,20,6.2,26,0.47,19,12.254999999999995
26,AUDUSD=X,Sinal 2,225.0,75,17.4,40,8.515151515151516,49,0.31,48,11.52
21,AUDUSD=X,Sinal 2,100.0,50,8.333333333333334,54,2.84375,12,0.4,53,10.600000000000003
31,AUDUSD=X,Sinal 2,312.5,125,33.86666666666667,59,15.75,53,0.35,43,9.674999999999999
106,AUDUSD=X,Sinal 6,125.0,50,10.05,40,5.024390243902439,47,0.33,61,9.455000000000009
65,AUDUSD=X,Sinal 4,150.0,50,7.285714285714286,12,11.416666666666666,42,0.37,19,9.119999999999997
30,AUDUSD=X,Sinal 2,250.0,125,23.944444444444443,53,15.333333333333334,53,0.4,45,9.000000000000004
37,AUDUSD=X,Sinal 2,437.5,175,42.72727272727273,60,17.894736842105264,56,0.37,30,8.850000000000001
24,AUDUSD=X,Sinal 2,150.0,75,9.25,21,7.225806451612903,49,0.39,51,8.670000000000002
35,AUDUSD=X,Sinal 2,450.0,150,43.18181818181818,60,17.92,54,0.31,36,8.64
36,AUDUSD=X,Sinal 2,350.0,175,34.57142857142857,56,17.894736842105264,56,0.42,33,8.579999999999997
23,AUDUSD=X,Sinal 2,150.0,50,7.6,21,4.472222222222222,49,0.29,51,8.159999999999997
39,AUDUSD=X,Sinal 2,400.0,200,41.75,59,17.375,52,0.43,28,8.119999999999997
85,AUDUSD=X,Sinal 5,125.0,50,10.476190476190476,59,4.113636363636363,47,0.32,65,7.800000000000007
63,AUDUSD=X,Sinal 4,100.0,50,7.222222222222222,17,6.2,26,0.47,19,7.789999999999998
25,AUDUSD=X,Sinal 2,187.5,75,11.8125,21,8.515151515151516,49,0.33,49,7.595000000000007
40,AUDUSD=X,Sinal 2,500.0,200,42.77777777777778,60,17.375,52,0.36,25,6.499999999999997
33,AUDUSD=X,Sinal 2,300.0,150,32.266666666666666,54,17.92,54,0.38,40,5.6000000000000005
66,AUDUSD=X,Sinal 4,150.0,75,11.5,41,13.454545454545455,42,0.42,19,4.939999999999998
90,AUDUSD=X,Sinal 5,200.0,100,13.954545454545455,46,12.666666666666666,55,0.36,61,4.879999999999997
105,AUDUSD=X,Sinal 6,100.0,50,7.409090909090909,21,3.923076923076923,18,0.36,61,4.879999999999997
32,AUDUSD=X,Sinal 2,375.0,125,35.27272727272727,49,15.75,53,0.28,39,4.680000000000004
0,AUDUSD=X,Sinal 1,100.0,50,7.0,17,3.5,12,0.37,41,4.51
84,AUDUSD=X,Sinal 5,100.0,50,8.08695652173913,54,3.0952380952380953,26,0.35,65,3.2499999999999956
88,AUDUSD=X,Sinal 5,187.5,75,13.31578947368421,48,9.659090909090908,52,0.3,63,3.150000000000003
34,AUDUSD=X,Sinal 2,375.0,150,35.27272727272727,49,17.92,54,0.31,36,3.0600000000000027
107,AUDUSD=X,Sinal 6,150.0,50,11.0625,45,6.955555555555556,49,0.26,61,2.440000000000002
91,AUDUSD=X,Sinal 5,250.0,100,19.58823529411765,53,13.619047619047619,55,0.29,59,0.8850000000000008
1,AUDUSD=X,Sinal 1,125.0,50,8.5,18,5.172413793103448,41,0.29,41,0.6150000000000005
86,AUDUSD=X,Sinal 5,150.0,50,9.625,45,5.791666666666667,49,0.25,64,0.0
89,AUDUSD=X,Sinal 5,225.0,75,11.866666666666667,40,9.911111111111111,52,0.25,60,0.0
81,AUDUSD=X,Sinal 4,400.0,200,32.5,49,28.375,53,0.33,12,-0.11999999999999877
102,AUDUSD=X,Sinal 5,400.0,200,32.07142857142857,56,23.285714285714285,55,0.33,42,-0.4199999999999957
99,AUDUSD=X,Sinal 5,350.0,175,28.8125,56,20.25,54,0.33,48,-0.4799999999999951
42,AUDUSD=X,Sinal 3,100.0,50,6.076923076923077,21,2.6538461538461537,12,0.33,78,-0.779999999999992
144,AUDUSD=X,Sinal 7,400.0,200,0.0,0,13.0,13,0.0,1,-1.0
132,AUDUSD=X,Sinal 7,200.0,100,0.0,0,10.0,10,0.0,1,-1.0
133,AUDUSD=X,Sinal 7,250.0,100,0.0,0,10.0,10,0.0,1,-1.0
131,AUDUSD=X,Sinal 7,225.0,75,0.0,0,7.0,7,0.0,1,-1.0
145,AUDUSD=X,Sinal 7,500.0,200,0.0,0,13.0,13,0.0,1,-1.0
140,AUDUSD=X,Sinal 7,450.0,150,0.0,0,11.0,11,0.0,1,-1.0
130,AUDUSD=X,Sinal 7,187.5,75,0.0,0,7.0,7,0.0,1,-1.0
141,AUDUSD=X,Sinal 7,350.0,175,0.0,0,12.0,12,0.0,1,-1.0
143,AUDUSD=X,Sinal 7,525.0,175,0.0,0,12.0,12,0.0,1,-1.0
129,AUDUSD=X,Sinal 7,150.0,75,0.0,0,7.0,7,0.0,1,-1.0
128,AUDUSD=X,Sinal 7,150.0,50,0.0,0,4.0,4,0.0,1,-1.0
126,AUDUSD=X,Sinal 7,100.0,50,0.0,0,4.0,4,0.0,1,-1.0
127,AUDUSD=X,Sinal 7,125.0,50,0.0,0,4.0,4,0.0,1,-1.0
134,AUDUSD=X,Sinal 7,300.0,100,0.0,0,10.0,10,0.0,1,-1.0
136,AUDUSD=X,Sinal 7,312.5,125,0.0,0,10.0,10,0.0,1,-1.0
137,AUDUSD=X,Sinal 7,375.0,125,0.0,0,10.0,10,0.0,1,-1.0
138,AUDUSD=X,Sinal 7,300.0,150,0.0,0,11.0,11,0.0,1,-1.0
142,AUDUSD=X,Sinal 7,437.5,175,0.0,0,12.0,12,0.0,1,-1.0
139,AUDUSD=X,Sinal 7,375.0,150,0.0,0,11.0,11,0.0,1,-1.0
135,AUDUSD=X,Sinal 7,250.0,125,0.0,0,10.0,10,0.0,1,-1.0
146,AUDUSD=X,Sinal 7,600.0,200,0.0,0,13.0,13,0.0,1,-1.0
3,AUDUSD=X,Sinal 1,150.0,75,16.923076923076923,41,11.535714285714286,46,0.32,41,-1.639999999999997
75,AUDUSD=X,Sinal 4,300.0,150,33.0,59,15.5,38,0.29,14,-1.82
92,AUDUSD=X,Sinal 5,300.0,100,25.214285714285715,54,13.909090909090908,55,0.24,58,-2.320000000000002
76,AUDUSD=X,Sinal 4,375.0,150,26.0,31,15.5,38,0.23,13,-2.5349999999999993
97,AUDUSD=X,Sinal 5,375.0,150,28.357142857142858,55,18.45945945945946,54,0.27,51,-2.804999999999997
82,AUDUSD=X,Sinal 4,500.0,200,48.5,52,28.375,53,0.2,10,-3.0000000000000004
68,AUDUSD=X,Sinal 4,225.0,75,16.0,20,16.266666666666666,55,0.21,19,-3.0400000000000005
44,AUDUSD=X,Sinal 3,150.0,50,9.421052631578947,32,5.305084745762712,47,0.24,78,-3.1200000000000028
19,AUDUSD=X,Sinal 1,500.0,200,38.8,60,24.6875,60,0.24,21,-3.3600000000000008
103,AUDUSD=X,Sinal 5,500.0,200,38.1,59,23.310344827586206,55,0.26,39,-3.509999999999999
96,AUDUSD=X,Sinal 5,300.0,150,26.352941176470587,54,18.45945945945946,54,0.31,54,-3.7799999999999976
57,AUDUSD=X,Sinal 3,350.0,175,30.529411764705884,55,21.2972972972973,54,0.31,54,-3.7799999999999976
20,AUDUSD=X,Sinal 1,600.0,200,35.25,45,24.6875,60,0.2,20,-3.999999999999999
72,AUDUSD=X,Sinal 4,250.0,125,19.0,32,14.166666666666666,34,0.25,16,-4.0
78,AUDUSD=X,Sinal 4,350.0,175,26.0,31,21.9,53,0.23,13,-4.03
93,AUDUSD=X,Sinal 5,250.0,125,19.666666666666668,53,15.1,40,0.31,58,-4.059999999999997
70,AUDUSD=X,Sinal 4,250.0,100,19.0,32,16.357142857142858,55,0.22,18,-4.14
18,AUDUSD=X,Sinal 1,400.0,200,34.833333333333336,59,24.6875,60,0.27,22,-4.179999999999999
108,AUDUSD=X,Sinal 6,150.0,75,12.157894736842104,45,9.928571428571429,52,0.31,61,-4.269999999999997
43,AUDUSD=X,Sinal 3,125.0,50,6.904761904761905,13,4.43859649122807,47,0.27,78,-4.289999999999996
2,AUDUSD=X,Sinal 1,150.0,50,9.666666666666666,32,8.0625,42,0.22,41,-4.92
67,AUDUSD=X,Sinal 4,187.5,75,15.5,20,16.266666666666666,55,0.21,19,-5.035
83,AUDUSD=X,Sinal 4,600.0,200,46.0,46,28.375,53,0.11,9,-5.040000000000001
94,AUDUSD=X,Sinal 5,312.5,125,26.2,59,15.357142857142858,40,0.26,57,-5.129999999999998
73,AUDUSD=X,Sinal 4,312.5,125,34.0,59,15.76923076923077,35,0.19,16,-5.360000000000001
100,AUDUSD=X,Sinal 5,437.5,175,34.27272727272727,56,20.363636363636363,54,0.25,44,-5.5
71,AUDUSD=X,Sinal 4,300.0,100,33.666666666666664,59,17.6,55,0.17,18,-5.759999999999999
98,AUDUSD=X,Sinal 5,450.0,150,34.63636363636363,56,18.605263157894736,54,0.22,49,-5.88
69,AUDUSD=X,Sinal 4,200.0,100,15.5,20,16.357142857142858,55,0.22,18,-6.12
95,AUDUSD=X,Sinal 5,375.0,125,25.916666666666668,49,15.357142857142858,40,0.22,54,-6.4799999999999995
77,AUDUSD=X,Sinal 4,450.0,150,34.0,34,15.5,38,0.09,11,-7.04
80,AUDUSD=X,Sinal 4,525.0,175,45.0,45,21.9,53,0.09,11,-7.04
74,AUDUSD=X,Sinal 4,375.0,125,23.5,27,15.76923076923077,35,0.13,15,-7.199999999999999
38,AUDUSD=X,Sinal 2,525.0,175,44.5,59,17.894736842105264,56,0.17,23,-7.3599999999999985
16,AUDUSD=X,Sinal 1,437.5,175,36.6,60,24.7,59,0.2,25,-7.500000000000001
79,AUDUSD=X,Sinal 4,437.5,175,34.0,34,21.9,53,0.09,11,-7.535
17,AUDUSD=X,Sinal 1,525.0,175,33.75,45,24.7,59,0.17,24,-7.679999999999999
4,AUDUSD=X,Sinal 1,187.5,75,19.555555555555557,35,14.28125,55,0.22,41,-9.43
15,AUDUSD=X,Sinal 1,350.0,175,28.0,47,24.7,59,0.2,25,-10.0
120,AUDUSD=X,Sinal 6,350.0,175,32.7,48,19.933333333333334,60,0.25,40,-10.0
41,AUDUSD=X,Sinal 2,600.0,200,55.5,59,17.375,52,0.11,18,-10.080000000000002
45,AUDUSD=X,Sinal 3,150.0,75,9.652173913043478,32,8.854545454545455,52,0.29,78,-10.14
6,AUDUSD=X,Sinal 1,200.0,100,20.555555555555557,35,16.178571428571427,55,0.24,37,-10.360000000000001
7,AUDUSD=X,Sinal 1,250.0,100,20.428571428571427,35,16.178571428571427,55,0.2,35,-10.500000000000002
