,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
28,CADUSD=X,Sinal 2,250.0,100,27.923076923076923,49,19.1,52,0.39,33,12.045000000000003
21,CADUSD=X,Sinal 2,100.0,50,8.19047619047619,20,8.766666666666667,41,0.41,51,11.729999999999993
27,CADUSD=X,Sinal 2,200.0,100,25.5625,60,19.1,52,0.44,36,11.519999999999998
30,CADUSD=X,Sinal 2,250.0,125,27.642857142857142,49,25.705882352941178,54,0.45,31,10.85
39,CADUSD=X,Sinal 2,400.0,200,39.142857142857146,55,30.0,53,0.64,11,10.120000000000001
40,CADUSD=X,Sinal 2,500.0,200,51.0,59,30.0,53,0.56,9,8.640000000000002
22,CADUSD=X,Sinal 2,125.0,50,11.352941176470589,27,10.176470588235293,41,0.33,51,7.905000000000007
37,CADUSD=X,Sinal 2,437.5,175,41.857142857142854,56,33.4,60,0.41,17,7.394999999999997
31,CADUSD=X,Sinal 2,312.5,125,33.3,52,27.166666666666668,54,0.36,28,7.279999999999998
106,CADUSD=X,Sinal 6,125.0,50,12.88888888888889,55,7.871794871794871,33,0.32,57,6.840000000000006
32,CADUSD=X,Sinal 2,375.0,125,35.25,55,27.166666666666668,54,0.31,26,6.24
29,CADUSD=X,Sinal 2,300.0,100,34.22222222222222,52,20.523809523809526,52,0.3,30,5.999999999999998
36,CADUSD=X,Sinal 2,350.0,175,34.375,54,33.4,60,0.44,18,5.759999999999999
34,CADUSD=X,Sinal 2,375.0,150,35.25,55,31.533333333333335,56,0.35,23,5.175
33,CADUSD=X,Sinal 2,300.0,150,33.2,52,31.533333333333335,56,0.4,25,5.000000000000002
38,CADUSD=X,Sinal 2,525.0,175,52.2,59,33.4,60,0.33,15,4.800000000000001
111,CADUSD=X,Sinal 6,200.0,100,31.125,60,20.703703703703702,56,0.37,43,4.7299999999999995
35,CADUSD=X,Sinal 2,450.0,150,42.5,59,31.533333333333335,56,0.29,21,3.3599999999999985
105,CADUSD=X,Sinal 6,100.0,50,10.2,54,6.918918918918919,26,0.35,57,2.849999999999996
108,CADUSD=X,Sinal 6,150.0,75,25.789473684210527,56,17.114285714285714,59,0.35,54,2.6999999999999966
63,CADUSD=X,Sinal 4,100.0,50,12.666666666666666,27,9.25,18,0.43,7,2.0299999999999994
65,CADUSD=X,Sinal 4,150.0,50,19.0,32,11.0,18,0.29,7,1.1199999999999994
64,CADUSD=X,Sinal 4,125.0,50,16.5,28,11.0,18,0.29,7,0.1050000000000001
23,CADUSD=X,Sinal 2,150.0,50,17.076923076923077,53,11.263157894736842,41,0.25,51,0.0
26,CADUSD=X,Sinal 2,225.0,75,22.363636363636363,34,18.666666666666668,55,0.25,44,0.0
66,CADUSD=X,Sinal 4,150.0,75,19.0,32,13.8,28,0.29,7,-0.91
25,CADUSD=X,Sinal 2,187.5,75,21.846153846153847,60,18.666666666666668,55,0.28,46,-0.9199999999999957
41,CADUSD=X,Sinal 2,600.0,200,47.0,47,30.0,53,0.2,5,-0.9999999999999998
24,CADUSD=X,Sinal 2,150.0,75,16.333333333333332,53,18.28125,55,0.32,47,-1.8799999999999963
68,CADUSD=X,Sinal 4,225.0,75,20.0,20,13.8,28,0.17,6,-1.9199999999999997
71,CADUSD=X,Sinal 4,300.0,100,25.0,25,21.6,39,0.17,6,-1.9199999999999997
110,CADUSD=X,Sinal 6,225.0,75,30.083333333333332,55,17.513513513513512,59,0.24,49,-1.9600000000000017
81,CADUSD=X,Sinal 4,400.0,200,0.0,0,45.0,56,0.0,2,-2.0
82,CADUSD=X,Sinal 4,500.0,200,0.0,0,45.0,56,0.0,2,-2.0
75,CADUSD=X,Sinal 4,300.0,150,25.0,25,31.25,47,0.2,5,-2.0
83,CADUSD=X,Sinal 4,600.0,200,0.0,0,45.0,56,0.0,2,-2.0
112,CADUSD=X,Sinal 6,250.0,100,34.4,56,20.703703703703702,56,0.27,37,-2.0349999999999975
67,CADUSD=X,Sinal 4,187.5,75,18.0,18,13.8,28,0.17,6,-2.4299999999999997
70,CADUSD=X,Sinal 4,250.0,100,21.0,21,21.6,39,0.17,6,-2.4299999999999997
84,CADUSD=X,Sinal 5,100.0,50,14.75,56,7.674418604651163,34,0.32,63,-2.519999999999995
109,CADUSD=X,Sinal 6,187.5,75,29.0,60,17.513513513513512,59,0.27,51,-2.804999999999997
69,CADUSD=X,Sinal 4,200.0,100,18.0,18,21.6,39,0.17,6,-2.9399999999999995
72,CADUSD=X,Sinal 4,250.0,125,21.0,21,31.0,54,0.17,6,-2.9399999999999995
79,CADUSD=X,Sinal 4,437.5,175,0.0,0,45.333333333333336,55,0.0,3,-3.0
80,CADUSD=X,Sinal 4,525.0,175,0.0,0,45.333333333333336,55,0.0,3,-3.0
78,CADUSD=X,Sinal 4,350.0,175,0.0,0,45.333333333333336,55,0.0,3,-3.0
134,CADUSD=X,Sinal 7,300.0,100,46.0,46,19.833333333333332,35,0.14,7,-3.0799999999999996
133,CADUSD=X,Sinal 7,250.0,100,45.0,45,19.833333333333332,35,0.14,7,-3.5700000000000003
136,CADUSD=X,Sinal 7,312.5,125,46.0,46,22.0,41,0.14,7,-3.5700000000000003
76,CADUSD=X,Sinal 4,375.0,150,0.0,0,31.25,47,0.0,4,-4.0
77,CADUSD=X,Sinal 4,450.0,150,0.0,0,31.25,47,0.0,4,-4.0
145,CADUSD=X,Sinal 7,500.0,200,0.0,0,29.25,42,0.0,4,-4.0
144,CADUSD=X,Sinal 7,400.0,200,0.0,0,29.25,42,0.0,4,-4.0
146,CADUSD=X,Sinal 7,600.0,200,0.0,0,29.25,42,0.0,4,-4.0
138,CADUSD=X,Sinal 7,300.0,150,46.0,46,24.166666666666668,43,0.14,7,-4.06
135,CADUSD=X,Sinal 7,250.0,125,45.0,45,22.0,41,0.14,7,-4.06
132,CADUSD=X,Sinal 7,200.0,100,33.0,33,19.833333333333332,35,0.14,7,-4.06
