,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
88,CHFUSD=X,Sinal 5,187.5,75,11.296296296296296,39,5.162162162162162,28,0.42,64,30.08
89,CHFUSD=X,Sinal 5,225.0,75,15.130434782608695,52,7.073170731707317,46,0.36,64,28.160000000000004
29,CHFUSD=X,Sinal 2,300.0,100,20.61111111111111,40,10.222222222222221,60,0.4,45,27.00000000000001
31,CHFUSD=X,Sinal 2,312.5,125,25.45,54,11.84,60,0.44,45,24.3
87,CHFUSD=X,Sinal 5,150.0,75,8.172413793103448,35,4.6,28,0.45,64,22.4
32,CHFUSD=X,Sinal 2,375.0,125,31.75,54,12.384615384615385,60,0.38,42,21.840000000000007
34,CHFUSD=X,Sinal 2,375.0,150,31.944444444444443,54,15.875,60,0.43,42,21.209999999999994
33,CHFUSD=X,Sinal 2,300.0,150,23.954545454545453,47,15.434782608695652,60,0.49,45,21.15
28,CHFUSD=X,Sinal 2,250.0,100,16.736842105263158,40,8.307692307692308,25,0.42,45,21.15
35,CHFUSD=X,Sinal 2,450.0,150,32.666666666666664,54,15.875,60,0.38,39,20.280000000000005
25,CHFUSD=X,Sinal 2,187.5,75,10.368421052631579,31,5.333333333333333,25,0.41,46,20.00999999999999
36,CHFUSD=X,Sinal 2,350.0,175,30.05,55,16.2,38,0.5,40,20.0
26,CHFUSD=X,Sinal 2,225.0,75,14.5,40,6.310344827586207,25,0.36,45,19.800000000000004
30,CHFUSD=X,Sinal 2,250.0,125,19.0,47,9.833333333333334,28,0.47,45,18.449999999999996
37,CHFUSD=X,Sinal 2,437.5,175,32.333333333333336,54,16.2,38,0.43,35,17.674999999999997
47,CHFUSD=X,Sinal 3,225.0,75,15.8,39,4.395348837209302,13,0.32,63,17.64
56,CHFUSD=X,Sinal 3,450.0,150,33.388888888888886,60,12.27027027027027,33,0.33,55,17.600000000000005
52,CHFUSD=X,Sinal 3,312.5,125,25.681818181818183,60,9.794871794871796,31,0.36,61,15.859999999999994
50,CHFUSD=X,Sinal 3,300.0,100,24.210526315789473,60,9.046511627906977,54,0.31,62,14.879999999999999
23,CHFUSD=X,Sinal 2,150.0,50,6.533333333333333,13,3.3548387096774195,24,0.33,46,14.720000000000002
90,CHFUSD=X,Sinal 5,200.0,100,11.846153846153847,39,8.18421052631579,46,0.41,64,14.719999999999992
27,CHFUSD=X,Sinal 2,200.0,100,12.0,31,7.88,25,0.44,45,14.399999999999999
49,CHFUSD=X,Sinal 3,250.0,100,18.136363636363637,40,7.414634146341464,26,0.35,63,14.174999999999999
39,CHFUSD=X,Sinal 2,400.0,200,33.1764705882353,54,20.45,49,0.46,37,14.06
53,CHFUSD=X,Sinal 3,375.0,125,29.333333333333332,52,10.175,31,0.31,58,13.92
22,CHFUSD=X,Sinal 2,125.0,50,5.117647058823529,13,2.9310344827586206,24,0.37,46,13.570000000000002
24,CHFUSD=X,Sinal 2,150.0,75,7.15,14,4.8076923076923075,25,0.43,46,13.339999999999996
55,CHFUSD=X,Sinal 3,375.0,150,30.75,59,12.27027027027027,33,0.35,57,12.825
86,CHFUSD=X,Sinal 5,150.0,50,6.2631578947368425,13,3.2,25,0.3,64,12.799999999999997
51,CHFUSD=X,Sinal 3,250.0,125,18.28,40,9.236842105263158,28,0.4,63,12.600000000000005
85,CHFUSD=X,Sinal 5,125.0,50,5.045454545454546,11,2.238095238095238,24,0.34,64,12.16000000000001
54,CHFUSD=X,Sinal 3,300.0,150,25.125,60,11.916666666666666,33,0.4,60,12.000000000000004
95,CHFUSD=X,Sinal 5,375.0,125,28.61111111111111,54,11.904761904761905,60,0.3,60,11.999999999999996
61,CHFUSD=X,Sinal 3,500.0,200,36.22222222222222,59,19.303030303030305,56,0.35,51,11.475
98,CHFUSD=X,Sinal 5,450.0,150,32.0,54,15.525,60,0.3,57,11.399999999999997
1,CHFUSD=X,Sinal 1,125.0,50,4.384615384615385,12,2.761904761904762,6,0.38,34,11.219999999999999
21,CHFUSD=X,Sinal 2,100.0,50,4.473684210526316,13,1.7777777777777777,7,0.41,46,10.579999999999995
57,CHFUSD=X,Sinal 3,350.0,175,30.130434782608695,60,14.61111111111111,34,0.39,59,10.030000000000003
46,CHFUSD=X,Sinal 3,187.5,75,14.285714285714286,39,4.190476190476191,13,0.33,63,9.76500000000001
60,CHFUSD=X,Sinal 3,400.0,200,33.095238095238095,59,19.303030303030305,56,0.39,54,9.180000000000001
97,CHFUSD=X,Sinal 5,375.0,150,28.842105263157894,54,14.846153846153847,60,0.33,58,8.990000000000007
84,CHFUSD=X,Sinal 5,100.0,50,4.166666666666667,10,1.325,6,0.38,64,8.96
48,CHFUSD=X,Sinal 3,200.0,100,14.333333333333334,39,6.794871794871795,26,0.38,63,8.82
120,CHFUSD=X,Sinal 6,350.0,175,27.647058823529413,54,13.923076923076923,38,0.4,43,8.600000000000003
119,CHFUSD=X,Sinal 6,450.0,150,31.692307692307693,54,13.666666666666666,40,0.3,43,8.599999999999998
40,CHFUSD=X,Sinal 2,500.0,200,38.0,53,22.333333333333332,60,0.36,33,8.579999999999997
58,CHFUSD=X,Sinal 3,437.5,175,33.27777777777778,59,14.972972972972974,34,0.33,55,8.525000000000007
59,CHFUSD=X,Sinal 3,525.0,175,35.266666666666666,59,14.972972972972974,34,0.29,52,8.319999999999997
