,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
116,EURUSD=X,Sinal 6,375.0,125,30.25,55,13.966666666666667,53,0.35,46,18.39999999999999
53,EURUSD=X,Sinal 3,375.0,125,29.55,55,12.372093023255815,48,0.32,63,17.64
120,EURUSD=X,Sinal 6,350.0,175,29.105263157894736,54,19.958333333333332,53,0.44,43,13.759999999999998
119,EURUSD=X,Sinal 6,450.0,150,36.57142857142857,56,18.142857142857142,54,0.33,42,13.440000000000003
123,EURUSD=X,Sinal 6,400.0,200,32.411764705882355,55,21.714285714285715,53,0.45,38,13.299999999999999
121,EURUSD=X,Sinal 6,437.5,175,36.46666666666667,56,21.32,54,0.38,40,13.2
118,EURUSD=X,Sinal 6,375.0,150,30.25,55,16.814814814814813,53,0.37,43,12.685000000000002
60,EURUSD=X,Sinal 3,400.0,200,34.31818181818182,55,21.1875,56,0.41,54,12.419999999999993
115,EURUSD=X,Sinal 6,312.5,125,23.764705882352942,54,13.966666666666667,53,0.36,47,12.219999999999995
57,EURUSD=X,Sinal 3,350.0,175,28.304347826086957,52,18.914285714285715,55,0.4,58,11.600000000000003
109,EURUSD=X,Sinal 6,187.5,75,10.823529411764707,21,9.03125,49,0.35,49,11.024999999999999
95,EURUSD=X,Sinal 5,375.0,125,33.0625,59,14.68421052631579,60,0.3,54,10.799999999999997
117,EURUSD=X,Sinal 6,300.0,150,23.05263157894737,54,16.814814814814813,53,0.41,46,10.579999999999995
58,EURUSD=X,Sinal 3,437.5,175,37.0,60,18.914285714285715,55,0.34,53,10.07000000000001
52,EURUSD=X,Sinal 3,312.5,125,21.666666666666668,52,12.372093023255815,48,0.33,64,9.920000000000009
55,EURUSD=X,Sinal 3,375.0,150,30.61904761904762,55,15.214285714285714,54,0.33,63,9.76500000000001
97,EURUSD=X,Sinal 5,375.0,150,34.1764705882353,59,15.857142857142858,60,0.33,52,8.060000000000008
110,EURUSD=X,Sinal 6,225.0,75,13.785714285714286,32,10.257142857142858,49,0.29,49,7.839999999999996
96,EURUSD=X,Sinal 5,300.0,150,22.666666666666668,48,15.970588235294118,60,0.38,55,7.700000000000001
124,EURUSD=X,Sinal 6,500.0,200,42.5,60,23.181818181818183,54,0.35,34,7.6499999999999995
108,EURUSD=X,Sinal 6,150.0,75,9.157894736842104,20,7.741935483870968,20,0.38,50,7.000000000000001
56,EURUSD=X,Sinal 3,450.0,150,35.0,59,15.214285714285714,54,0.28,58,6.960000000000006
94,EURUSD=X,Sinal 5,312.5,125,23.5,48,14.68421052631579,60,0.32,56,6.720000000000006
111,EURUSD=X,Sinal 6,200.0,100,11.055555555555555,21,9.233333333333333,20,0.38,48,6.720000000000001
114,EURUSD=X,Sinal 6,250.0,125,17.38888888888889,53,13.966666666666667,53,0.38,48,6.720000000000001
87,EURUSD=X,Sinal 5,150.0,75,7.523809523809524,21,5.444444444444445,26,0.37,57,6.27
130,EURUSD=X,Sinal 7,187.5,75,10.333333333333334,18,2.0,4,0.6,5,5.5
66,EURUSD=X,Sinal 4,150.0,75,10.0,19,13.0,13,0.75,4,5.0
112,EURUSD=X,Sinal 6,250.0,100,14.333333333333334,32,10.969696969696969,53,0.31,48,4.080000000000004
65,EURUSD=X,Sinal 4,150.0,50,5.5,11,3.5,7,0.5,4,4.0
129,EURUSD=X,Sinal 7,150.0,75,7.666666666666667,13,2.0,4,0.6,5,3.9999999999999996
113,EURUSD=X,Sinal 6,300.0,100,17.76923076923077,40,12.8,60,0.27,48,3.8400000000000034
102,EURUSD=X,Sinal 5,400.0,200,37.0,59,20.933333333333334,60,0.36,47,3.759999999999998
134,EURUSD=X,Sinal 7,300.0,100,14.0,18,7.0,17,0.4,5,3.000000000000001
137,EURUSD=X,Sinal 7,375.0,125,16.5,19,7.0,17,0.4,5,3.000000000000001
131,EURUSD=X,Sinal 7,225.0,75,14.0,18,7.0,17,0.4,5,3.000000000000001
64,EURUSD=X,Sinal 4,125.0,50,5.5,11,3.5,7,0.5,4,3.0
93,EURUSD=X,Sinal 5,250.0,125,19.35,46,14.783783783783784,60,0.35,57,2.849999999999996
84,EURUSD=X,Sinal 5,100.0,50,3.65,10,2.4324324324324325,14,0.35,57,2.849999999999996
99,EURUSD=X,Sinal 5,350.0,175,30.166666666666668,55,18.242424242424242,60,0.35,51,2.5499999999999967
61,EURUSD=X,Sinal 3,500.0,200,37.785714285714285,60,21.1875,56,0.3,46,2.300000000000002
107,EURUSD=X,Sinal 6,150.0,50,7.153846153846154,14,4.216216216216216,18,0.26,50,2.0000000000000018
63,EURUSD=X,Sinal 4,100.0,50,2.0,4,3.5,7,0.5,4,2.0
136,EURUSD=X,Sinal 7,312.5,125,15.0,19,7.0,17,0.4,5,2.0
72,EURUSD=X,Sinal 4,250.0,125,21.5,40,33.5,42,0.5,4,2.0
83,EURUSD=X,Sinal 4,600.0,200,10.0,10,46.0,46,0.5,2,2.0
80,EURUSD=X,Sinal 4,525.0,175,7.0,7,38.0,38,0.5,2,2.0
77,EURUSD=X,Sinal 4,450.0,150,7.0,7,35.0,35,0.5,2,2.0
139,EURUSD=X,Sinal 7,375.0,150,16.5,19,9.0,17,0.4,5,2.0
133,EURUSD=X,Sinal 7,250.0,100,14.0,18,7.0,17,0.4,5,2.0
79,EURUSD=X,Sinal 4,437.5,175,7.0,7,38.0,38,0.5,2,1.5
82,EURUSD=X,Sinal 4,500.0,200,7.0,7,46.0,46,0.5,2,1.5
76,EURUSD=X,Sinal 4,375.0,150,6.0,6,35.0,35,0.5,2,1.5
51,EURUSD=X,Sinal 3,250.0,125,17.136363636363637,46,12.372093023255815,48,0.34,65,1.3000000000000083
54,EURUSD=X,Sinal 3,300.0,150,20.454545454545453,46,15.214285714285714,54,0.34,64,1.2800000000000082
