,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
86,GBPUSD=X,Sinal 5,150.0,50,7.55,26,3.357142857142857,24,0.32,62,17.360000000000003
25,GBPUSD=X,Sinal 2,187.5,75,11.210526315789474,26,5.333333333333333,34,0.37,52,15.340000000000002
85,GBPUSD=X,Sinal 5,125.0,50,5.454545454545454,20,2.65,11,0.35,62,13.95
110,GBPUSD=X,Sinal 6,225.0,75,9.866666666666667,24,4.15625,21,0.32,47,13.160000000000002
107,GBPUSD=X,Sinal 6,150.0,50,4.466666666666667,20,1.59375,12,0.32,47,13.160000000000002
26,GBPUSD=X,Sinal 2,225.0,75,15.1875,55,7.638888888888889,48,0.31,52,12.48
109,GBPUSD=X,Sinal 6,187.5,75,7.764705882352941,24,3.3666666666666667,13,0.36,47,12.219999999999995
88,GBPUSD=X,Sinal 5,187.5,75,8.619047619047619,26,6.219512195121951,26,0.34,62,11.78000000000001
28,GBPUSD=X,Sinal 2,250.0,100,17.555555555555557,55,10.147058823529411,49,0.35,52,11.7
90,GBPUSD=X,Sinal 5,200.0,100,11.916666666666666,55,9.052631578947368,45,0.39,62,10.540000000000003
24,GBPUSD=X,Sinal 2,150.0,75,9.19047619047619,26,3.903225806451613,21,0.4,52,10.400000000000004
80,GBPUSD=X,Sinal 4,525.0,175,28.833333333333332,52,11.25,27,0.43,14,10.08
30,GBPUSD=X,Sinal 2,250.0,125,19.5,55,11.566666666666666,49,0.4,50,10.000000000000004
64,GBPUSD=X,Sinal 4,125.0,50,2.857142857142857,7,1.0,4,0.47,15,9.674999999999997
33,GBPUSD=X,Sinal 2,300.0,150,25.94736842105263,56,15.321428571428571,49,0.4,47,9.400000000000004
49,GBPUSD=X,Sinal 3,250.0,100,16.16,52,5.471698113207547,25,0.32,78,9.360000000000008
65,GBPUSD=X,Sinal 4,150.0,50,2.8333333333333335,7,2.111111111111111,11,0.4,15,9.000000000000004
101,GBPUSD=X,Sinal 5,525.0,175,32.6,54,14.972972972972974,48,0.29,52,8.319999999999997
103,GBPUSD=X,Sinal 5,500.0,200,29.3125,53,17.34375,48,0.33,48,7.440000000000007
31,GBPUSD=X,Sinal 2,312.5,125,26.875,56,12.78125,49,0.33,48,7.440000000000007
27,GBPUSD=X,Sinal 2,200.0,100,15.3,55,9.28125,49,0.38,52,7.280000000000001
79,GBPUSD=X,Sinal 4,437.5,175,25.333333333333332,45,11.25,27,0.43,14,7.0699999999999985
82,GBPUSD=X,Sinal 4,500.0,200,28.0,49,13.125,28,0.43,14,7.0699999999999985
87,GBPUSD=X,Sinal 5,150.0,75,7.130434782608695,26,5.717948717948718,26,0.37,62,6.819999999999999
84,GBPUSD=X,Sinal 5,100.0,50,3.8260869565217392,10,2.6153846153846154,11,0.37,62,6.819999999999999
83,GBPUSD=X,Sinal 4,600.0,200,28.2,53,13.125,28,0.38,13,6.760000000000002
108,GBPUSD=X,Sinal 6,150.0,75,4.944444444444445,20,3.3793103448275863,13,0.38,47,6.580000000000001
111,GBPUSD=X,Sinal 6,200.0,100,9.333333333333334,24,4.448275862068965,13,0.38,47,6.580000000000001
23,GBPUSD=X,Sinal 2,150.0,50,7.733333333333333,26,2.710526315789474,14,0.28,53,6.360000000000006
44,GBPUSD=X,Sinal 3,150.0,50,5.190476190476191,20,1.8596491228070176,7,0.27,78,6.2400000000000055
48,GBPUSD=X,Sinal 3,200.0,100,11.035714285714286,52,5.32,25,0.36,78,6.239999999999997
63,GBPUSD=X,Sinal 4,100.0,50,2.4285714285714284,5,1.0,4,0.47,15,6.149999999999999
106,GBPUSD=X,Sinal 6,125.0,50,3.8,19,1.59375,12,0.32,47,5.640000000000005
102,GBPUSD=X,Sinal 5,400.0,200,26.263157894736842,54,17.34375,48,0.37,51,5.609999999999999
91,GBPUSD=X,Sinal 5,250.0,100,15.947368421052632,55,10.186046511627907,45,0.31,62,5.270000000000005
89,GBPUSD=X,Sinal 5,225.0,75,11.705882352941176,55,7.133333333333334,28,0.27,62,4.960000000000004
122,GBPUSD=X,Sinal 6,525.0,175,33.0,52,14.10344827586207,48,0.28,40,4.800000000000004
77,GBPUSD=X,Sinal 4,450.0,150,25.6,49,11.5,45,0.33,15,4.800000000000001
29,GBPUSD=X,Sinal 2,300.0,100,22.857142857142858,56,12.486486486486486,56,0.27,51,4.080000000000004
81,GBPUSD=X,Sinal 4,400.0,200,24.166666666666668,41,13.125,28,0.43,14,4.059999999999999
78,GBPUSD=X,Sinal 4,350.0,175,18.333333333333332,41,11.25,27,0.43,14,4.059999999999999
51,GBPUSD=X,Sinal 3,250.0,125,17.22222222222222,52,7.980392156862745,33,0.35,78,3.899999999999995
104,GBPUSD=X,Sinal 5,600.0,200,38.416666666666664,60,17.34375,48,0.27,44,3.520000000000003
119,GBPUSD=X,Sinal 6,450.0,150,27.09090909090909,49,11.466666666666667,42,0.27,41,3.280000000000003
47,GBPUSD=X,Sinal 3,225.0,75,11.25,52,4.310344827586207,25,0.26,78,3.1200000000000028
50,GBPUSD=X,Sinal 3,300.0,100,17.6,41,6.964285714285714,45,0.26,76,3.0400000000000027
66,GBPUSD=X,Sinal 4,150.0,75,2.8333333333333335,7,6.777777777777778,26,0.4,15,3.000000000000001
53,GBPUSD=X,Sinal 3,375.0,125,20.94736842105263,48,9.537037037037036,45,0.26,73,2.9200000000000026
59,GBPUSD=X,Sinal 3,525.0,175,29.666666666666668,55,15.211538461538462,53,0.26,70,2.8000000000000025
22,GBPUSD=X,Sinal 2,125.0,50,6.0,19,2.4054054054054053,13,0.3,53,2.650000000000002
92,GBPUSD=X,Sinal 5,300.0,100,16.9375,56,10.955555555555556,45,0.26,61,2.440000000000002
112,GBPUSD=X,Sinal 6,250.0,100,12.5,25,5.696969696969697,21,0.3,47,2.3500000000000023
76,GBPUSD=X,Sinal 4,375.0,150,22.6,41,11.5,45,0.33,15,2.325000000000002
95,GBPUSD=X,Sinal 5,375.0,125,21.333333333333332,47,13.790697674418604,54,0.26,58,2.320000000000002
93,GBPUSD=X,Sinal 5,250.0,125,17.333333333333332,55,11.9,45,0.34,61,1.2200000000000077
71,GBPUSD=X,Sinal 4,300.0,100,9.25,21,9.909090909090908,45,0.27,15,1.200000000000001
74,GBPUSD=X,Sinal 4,375.0,125,18.0,41,10.545454545454545,45,0.27,15,1.200000000000001
68,GBPUSD=X,Sinal 4,225.0,75,8.5,21,6.818181818181818,26,0.27,15,1.200000000000001
43,GBPUSD=X,Sinal 3,125.0,50,4.130434782608695,19,1.9272727272727272,7,0.29,78,1.170000000000001
46,GBPUSD=X,Sinal 3,187.5,75,9.826086956521738,52,3.7636363636363637,14,0.29,78,1.170000000000001
21,GBPUSD=X,Sinal 2,100.0,50,4.166666666666667,12,2.057142857142857,7,0.34,53,1.0600000000000067
94,GBPUSD=X,Sinal 5,312.5,125,18.294117647058822,56,12.833333333333334,45,0.29,59,0.8850000000000008
117,GBPUSD=X,Sinal 6,300.0,150,19.6,40,10.517241379310345,42,0.34,44,0.8800000000000057
100,GBPUSD=X,Sinal 5,437.5,175,26.0,53,14.972972972972974,48,0.29,52,0.7800000000000007
18,GBPUSD=X,Sinal 1,400.0,200,24.181818181818183,60,17.0,42,0.34,32,0.6400000000000041
118,GBPUSD=X,Sinal 6,375.0,150,22.25,41,11.466666666666667,42,0.29,42,0.6300000000000006
34,GBPUSD=X,Sinal 2,375.0,150,22.083333333333332,46,16.137931034482758,49,0.29,41,0.6150000000000005
124,GBPUSD=X,Sinal 6,500.0,200,28.363636363636363,49,15.11111111111111,48,0.29,38,0.5700000000000005
130,GBPUSD=X,Sinal 7,187.5,75,0.0,0,0.0,0,0.0,0,-0.0
138,GBPUSD=X,Sinal 7,300.0,150,0.0,0,0.0,0,0.0,0,-0.0
134,GBPUSD=X,Sinal 7,300.0,100,0.0,0,0.0,0,0.0,0,-0.0
135,GBPUSD=X,Sinal 7,250.0,125,0.0,0,0.0,0,0.0,0,-0.0
136,GBPUSD=X,Sinal 7,312.5,125,0.0,0,0.0,0,0.0,0,-0.0
137,GBPUSD=X,Sinal 7,375.0,125,0.0,0,0.0,0,0.0,0,-0.0
139,GBPUSD=X,Sinal 7,375.0,150,0.0,0,0.0,0,0.0,0,-0.0
132,GBPUSD=X,Sinal 7,200.0,100,0.0,0,0.0,0,0.0,0,-0.0
140,GBPUSD=X,Sinal 7,450.0,150,0.0,0,0.0,0,0.0,0,-0.0
141,GBPUSD=X,Sinal 7,350.0,175,0.0,0,0.0,0,0.0,0,-0.0
142,GBPUSD=X,Sinal 7,437.5,175,0.0,0,0.0,0,0.0,0,-0.0
143,GBPUSD=X,Sinal 7,525.0,175,0.0,0,0.0,0,0.0,0,-0.0
144,GBPUSD=X,Sinal 7,400.0,200,0.0,0,0.0,0,0.0,0,-0.0
145,GBPUSD=X,Sinal 7,500.0,200,0.0,0,0.0,0,0.0,0,-0.0
133,GBPUSD=X,Sinal 7,250.0,100,0.0,0,0.0,0,0.0,0,-0.0
146,GBPUSD=X,Sinal 7,600.0,200,0.0,0,0.0,0,0.0,0,-0.0
131,GBPUSD=X,Sinal 7,225.0,75,0.0,0,0.0,0,0.0,0,-0.0
129,GBPUSD=X,Sinal 7,150.0,75,0.0,0,0.0,0,0.0,0,-0.0
128,GBPUSD=X,Sinal 7,150.0,50,0.0,0,0.0,0,0.0,0,-0.0
127,GBPUSD=X,Sinal 7,125.0,50,0.0,0,0.0,0,0.0,0,-0.0
126,GBPUSD=X,Sinal 7,100.0,50,0.0,0,0.0,0,0.0,0,-0.0
125,GBPUSD=X,Sinal 6,600.0,200,33.44444444444444,53,15.11111111111111,48,0.25,36,0.0
75,GBPUSD=X,Sinal 4,300.0,150,15.4,40,11.5,45,0.33,15,-0.14999999999999847
123,GBPUSD=X,Sinal 6,400.0,200,26.307692307692307,60,15.11111111111111,48,0.33,40,-0.3999999999999959
36,GBPUSD=X,Sinal 2,350.0,175,25.571428571428573,54,18.071428571428573,49,0.33,42,-0.4199999999999957
120,GBPUSD=X,Sinal 6,350.0,175,21.928571428571427,41,14.10344827586207,48,0.33,43,-0.4299999999999956
114,GBPUSD=X,Sinal 6,250.0,125,13.8,32,8.161290322580646,33,0.33,46,-0.4599999999999953
99,GBPUSD=X,Sinal 5,350.0,175,21.333333333333332,47,14.972972972972974,48,0.33,55,-0.5499999999999944
45,GBPUSD=X,Sinal 3,150.0,75,5.730769230769231,20,3.269230769230769,14,0.33,78,-0.779999999999992
121,GBPUSD=X,Sinal 6,437.5,175,27.09090909090909,49,14.10344827586207,48,0.28,40,-0.7999999999999963
73,GBPUSD=X,Sinal 4,312.5,125,10.25,24,10.545454545454545,45,0.27,15,-0.8249999999999991
70,GBPUSD=X,Sinal 4,250.0,100,8.5,21,9.909090909090908,45,0.27,15,-0.8249999999999991
67,GBPUSD=X,Sinal 4,187.5,75,8.5,21,6.818181818181818,26,0.27,15,-0.8249999999999991
97,GBPUSD=X,Sinal 5,375.0,150,22.875,47,14.24390243902439,59,0.28,57,-1.1399999999999948
20,GBPUSD=X,Sinal 1,600.0,200,33.57142857142857,56,16.863636363636363,42,0.24,29,-1.160000000000001
52,GBPUSD=X,Sinal 3,312.5,125,19.285714285714285,41,9.537037037037036,45,0.28,75,-1.499999999999993
0,GBPUSD=X,Sinal 1,100.0,50,3.6666666666666665,6,2.269230769230769,11,0.32,38,-1.5199999999999971
2,GBPUSD=X,Sinal 1,150.0,50,6.444444444444445,19,2.5517241379310347,11,0.24,38,-1.5200000000000014
19,GBPUSD=X,Sinal 1,500.0,200,26.375,60,16.863636363636363,42,0.27,30,-1.6499999999999981
32,GBPUSD=X,Sinal 2,375.0,125,18.1,39,12.78125,49,0.24,42,-1.6800000000000015
116,GBPUSD=X,Sinal 6,375.0,125,18.8,40,8.53125,33,0.24,42,-1.6800000000000015
113,GBPUSD=X,Sinal 6,300.0,100,14.636363636363637,40,7.542857142857143,56,0.24,46,-1.8400000000000016
105,GBPUSD=X,Sinal 6,100.0,50,2.7333333333333334,10,1.59375,12,0.32,47,-1.8799999999999963
98,GBPUSD=X,Sinal 5,450.0,150,25.0,53,14.24390243902439,59,0.24,54,-2.160000000000002
115,GBPUSD=X,Sinal 6,312.5,125,16.916666666666668,40,8.53125,33,0.27,44,-2.4199999999999973
39,GBPUSD=X,Sinal 2,400.0,200,23.181818181818183,54,18.541666666666668,49,0.31,35,-2.4499999999999984
69,GBPUSD=X,Sinal 4,200.0,100,8.5,21,9.909090909090908,45,0.27,15,-2.849999999999999
72,GBPUSD=X,Sinal 4,250.0,125,8.5,21,10.545454545454545,45,0.27,15,-2.849999999999999
16,GBPUSD=X,Sinal 1,437.5,175,23.333333333333332,59,16.52,60,0.26,34,-3.0599999999999987
1,GBPUSD=X,Sinal 1,125.0,50,5.3,18,2.4285714285714284,11,0.26,38,-3.419999999999999
17,GBPUSD=X,Sinal 1,525.0,175,23.857142857142858,41,16.52,60,0.22,32,-3.84
96,GBPUSD=X,Sinal 5,300.0,150,18.38888888888889,56,13.125,45,0.31,58,-4.059999999999997
15,GBPUSD=X,Sinal 1,350.0,175,19.3,53,16.625,60,0.29,34,-4.42
57,GBPUSD=X,Sinal 3,350.0,175,20.434782608695652,47,15.235294117647058,53,0.31,74,-5.179999999999996
40,GBPUSD=X,Sinal 2,500.0,200,31.625,46,20.2,60,0.24,33,-5.280000000000001
56,GBPUSD=X,Sinal 3,450.0,150,25.0625,54,12.166666666666666,53,0.23,70,-5.599999999999997
5,GBPUSD=X,Sinal 1,225.0,75,9.125,21,5.133333333333334,34,0.21,38,-6.080000000000001
7,GBPUSD=X,Sinal 1,250.0,100,11.333333333333334,21,7.793103448275862,34,0.24,38,-6.080000000000001
61,GBPUSD=X,Sinal 3,500.0,200,27.77777777777778,55,15.9,54,0.26,68,-6.119999999999997
58,GBPUSD=X,Sinal 3,437.5,175,25.333333333333332,54,15.211538461538462,53,0.26,70,-6.299999999999998
55,GBPUSD=X,Sinal 3,375.0,150,20.94736842105263,48,12.132075471698114,53,0.26,72,-6.479999999999998
13,GBPUSD=X,Sinal 1,375.0,150,12.625,24,15.0,56,0.23,35,-6.824999999999998
60,GBPUSD=X,Sinal 3,400.0,200,22.142857142857142,60,15.938775510204081,54,0.3,70,-6.999999999999998
41,GBPUSD=X,Sinal 2,600.0,200,30.166666666666668,40,20.2,60,0.19,31,-7.4399999999999995
62,GBPUSD=X,Sinal 3,600.0,200,33.0,60,15.9,54,0.22,64,-7.68
3,GBPUSD=X,Sinal 1,150.0,75,7.2,19,3.857142857142857,13,0.26,38,-8.36
37,GBPUSD=X,Sinal 2,437.5,175,22.25,45,19.379310344827587,56,0.22,37,-8.51
38,GBPUSD=X,Sinal 2,525.0,175,34.57142857142857,46,19.379310344827587,56,0.19,36,-8.64
11,GBPUSD=X,Sinal 1,375.0,125,11.571428571428571,24,11.966666666666667,56,0.19,37,-8.879999999999999
4,GBPUSD=X,Sinal 1,187.5,75,8.875,21,5.133333333333334,34,0.21,38,-10.07
42,GBPUSD=X,Sinal 3,100.0,50,3.391304347826087,10,1.9272727272727272,7,0.29,78,-10.14
9,GBPUSD=X,Sinal 1,250.0,125,11.333333333333334,21,9.357142857142858,34,0.24,37,-10.360000000000001
8,GBPUSD=X,Sinal 1,300.0,100,10.428571428571429,21,10.387096774193548,56,0.18,38,-10.64
6,GBPUSD=X,Sinal 1,200.0,100,10.0,21,7.793103448275862,34,0.24,38,-10.64
35,GBPUSD=X,Sinal 2,450.0,150,24.285714285714285,45,18.483870967741936,55,0.18,38,-10.64
12,GBPUSD=X,Sinal 1,300.0,150,11.25,21,15.0,56,0.23,35,-10.85
14,GBPUSD=X,Sinal 1,450.0,150,17.5,28,16.17241379310345,56,0.17,35,-11.199999999999998
54,GBPUSD=X,Sinal 3,300.0,150,18.047619047619047,41,12.132075471698114,53,0.28,74,-11.839999999999995
10,GBPUSD=X,Sinal 1,312.5,125,11.142857142857142,24,11.966666666666667,56,0.19,37,-12.395000000000003
