,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
89,JPYUSD=X,Sinal 5,225.0,75,17.666666666666668,55,7.186046511627907,28,0.36,67,29.480000000000004
25,JPYUSD=X,Sinal 2,187.5,75,23.90909090909091,59,7.0,26,0.43,51,25.754999999999995
86,JPYUSD=X,Sinal 5,150.0,50,10.608695652173912,39,4.111111111111111,21,0.34,68,24.480000000000008
88,JPYUSD=X,Sinal 5,187.5,75,15.807692307692308,52,6.785714285714286,28,0.38,68,22.439999999999998
26,JPYUSD=X,Sinal 2,225.0,75,22.705882352941178,55,8.1,40,0.36,47,20.680000000000003
23,JPYUSD=X,Sinal 2,150.0,50,16.555555555555557,46,4.636363636363637,20,0.35,51,20.39999999999999
24,JPYUSD=X,Sinal 2,150.0,75,18.0,48,6.857142857142857,26,0.45,51,17.849999999999998
91,JPYUSD=X,Sinal 5,250.0,100,20.5,60,10.790697674418604,48,0.36,67,17.419999999999995
93,JPYUSD=X,Sinal 5,250.0,125,20.666666666666668,60,13.153846153846153,49,0.41,66,15.17999999999999
22,JPYUSD=X,Sinal 2,125.0,50,13.052631578947368,41,4.59375,20,0.37,51,15.045000000000002
92,JPYUSD=X,Sinal 5,300.0,100,21.842105263157894,41,10.790697674418604,48,0.31,62,14.879999999999999
111,JPYUSD=X,Sinal 6,200.0,100,19.807692307692307,55,12.216216216216216,54,0.41,63,14.489999999999991
95,JPYUSD=X,Sinal 5,375.0,125,31.666666666666668,55,13.675,49,0.31,58,13.92
87,JPYUSD=X,Sinal 5,150.0,75,11.666666666666666,39,6.439024390243903,28,0.4,68,13.600000000000005
94,JPYUSD=X,Sinal 5,312.5,125,24.571428571428573,52,13.153846153846153,49,0.35,60,13.499999999999998
90,JPYUSD=X,Sinal 5,200.0,100,15.777777777777779,41,9.275,40,0.4,67,13.400000000000004
85,JPYUSD=X,Sinal 5,125.0,50,9.304347826086957,34,4.111111111111111,21,0.34,68,12.920000000000012
109,JPYUSD=X,Sinal 6,187.5,75,18.227272727272727,59,8.348837209302326,33,0.34,65,12.35000000000001
21,JPYUSD=X,Sinal 2,100.0,50,7.9523809523809526,24,4.0,13,0.41,51,11.729999999999993
112,JPYUSD=X,Sinal 6,250.0,100,25.3,60,13.804878048780488,54,0.33,61,9.455000000000009
27,JPYUSD=X,Sinal 2,200.0,100,21.05263157894737,46,8.5,40,0.4,47,9.400000000000004
107,JPYUSD=X,Sinal 6,150.0,50,11.833333333333334,46,5.085106382978723,31,0.28,65,7.800000000000007
84,JPYUSD=X,Sinal 5,100.0,50,6.8,28,3.372093023255814,21,0.37,68,7.479999999999999
108,JPYUSD=X,Sinal 6,150.0,75,13.125,46,7.463414634146342,31,0.37,65,7.1499999999999995
28,JPYUSD=X,Sinal 2,250.0,100,24.533333333333335,60,9.7,40,0.33,45,6.975000000000006
113,JPYUSD=X,Sinal 6,300.0,100,24.5,56,14.714285714285714,54,0.28,58,6.960000000000006
97,JPYUSD=X,Sinal 5,375.0,150,31.666666666666668,55,14.666666666666666,46,0.32,57,6.840000000000006
96,JPYUSD=X,Sinal 5,300.0,150,22.0,41,14.157894736842104,46,0.37,60,6.6
29,JPYUSD=X,Sinal 2,300.0,100,26.666666666666668,53,10.64516129032258,40,0.28,43,5.160000000000005
110,JPYUSD=X,Sinal 6,225.0,75,20.941176470588236,55,9.022222222222222,33,0.27,62,4.960000000000004
30,JPYUSD=X,Sinal 2,250.0,125,23.875,60,12.275862068965518,40,0.36,45,3.5999999999999983
114,JPYUSD=X,Sinal 6,250.0,125,24.761904761904763,60,16.384615384615383,54,0.35,60,2.999999999999996
115,JPYUSD=X,Sinal 6,312.5,125,24.294117647058822,56,17.3,54,0.3,57,2.8500000000000023
117,JPYUSD=X,Sinal 6,300.0,150,25.45,56,20.16216216216216,59,0.35,57,2.849999999999996
31,JPYUSD=X,Sinal 2,312.5,125,26.692307692307693,54,13.166666666666666,40,0.3,43,2.150000000000002
129,JPYUSD=X,Sinal 7,150.0,75,19.333333333333332,38,14.25,28,0.43,7,2.0299999999999994
128,JPYUSD=X,Sinal 7,150.0,50,20.5,38,8.2,21,0.29,7,1.1199999999999994
65,JPYUSD=X,Sinal 4,150.0,50,4.5,6,5.6,21,0.29,7,1.1199999999999994
52,JPYUSD=X,Sinal 3,312.5,125,28.05,56,13.041666666666666,54,0.29,68,1.020000000000001
127,JPYUSD=X,Sinal 7,125.0,50,14.0,25,8.2,21,0.29,7,0.1050000000000001
64,JPYUSD=X,Sinal 4,125.0,50,4.5,6,5.6,21,0.29,7,0.1050000000000001
98,JPYUSD=X,Sinal 5,450.0,150,38.92307692307692,54,14.666666666666666,46,0.25,52,0.0
146,JPYUSD=X,Sinal 7,600.0,200,31.0,31,25.666666666666668,42,0.25,4,0.0
145,JPYUSD=X,Sinal 7,500.0,200,31.0,31,25.666666666666668,42,0.25,4,-0.5
99,JPYUSD=X,Sinal 5,350.0,175,28.473684210526315,53,17.487179487179485,46,0.33,58,-0.5799999999999941
51,JPYUSD=X,Sinal 3,250.0,125,25.347826086956523,55,12.191489361702128,54,0.33,70,-0.6999999999999929
75,JPYUSD=X,Sinal 4,300.0,150,18.5,24,18.6,33,0.29,7,-0.91
66,JPYUSD=X,Sinal 4,150.0,75,4.5,6,12.6,28,0.29,7,-0.91
63,JPYUSD=X,Sinal 4,100.0,50,4.5,6,5.6,21,0.29,7,-0.91
126,JPYUSD=X,Sinal 7,100.0,50,11.5,20,8.2,21,0.29,7,-0.91
